,workflow,nodes,networkspeed,filesystem,localData,tasksByNode,cpuHoursByNode
174,chain,6,1,ceph,0.02445146829148154,0.031666666657166664,0.029603328616232428
175,chain,6,1,ceph,0.034740112932269744,0.03333333332333333,0.03398924236351985
176,chain,6,1,ceph,0.030460286571091476,0.0449999999865,0.04536766647586537
177,chain,6,1,nfs,0.03445015750701204,0.05166666665116666,0.052782014049627714
178,chain,6,1,nfs,0.03285089756518823,0.056666666649666665,0.05938022870919277
179,chain,6,1,nfs,0.027021046831506954,0.039999999987999996,0.04509295670390993
180,chipseq,6,1,ceph,0.012773696043289633,0.023796060691331326,0.0015608521231347677
181,chipseq,6,1,ceph,0.013363088405365703,0.026811799075975296,0.002572417607288919
182,chipseq,6,1,ceph,0.009409895751248353,0.024267269813931947,0.0037687681613287807
183,chipseq,6,1,nfs,0.011021008903049854,0.042078974648235394,0.003916451821059318
184,chipseq,6,1,nfs,0.006891991736849666,0.0417020073501549,0.0026904947704908633
185,chipseq,6,1,nfs,0.008438827666171603,0.022853642446130085,0.004090962285952829
186,fork,6,1,ceph,0.07547152217520564,0.08745874582263176,0.08910279666138281
187,fork,6,1,ceph,0.0754715952921785,0.08745874582263176,0.09579367066254904
188,fork,6,1,ceph,0.07861622224696525,0.09075907585367447,0.0954884567818466
189,fork,6,1,nfs,0.10062870841976969,0.11386138607097342,0.11130671538394173
190,fork,6,1,nfs,0.07547158643997047,0.08745874582263176,0.08484921628152989
191,fork,6,1,nfs,0.0754715099890435,0.08745874582263176,0.08431848611697139
192,group,6,1,ceph,0.06982150640505735,0.05472636813469963,0.09998710863639729
193,group,6,1,ceph,0.044395880063725815,0.03731343281911339,0.04239264964799626
194,group,6,1,ceph,0.03415129385162313,0.027363184067349815,0.08805734195917526
195,group,6,1,nfs,0.05680294860738327,0.04228855719499517,0.06098829028067497
196,group,6,1,nfs,0.03001918451914069,0.03980099500705428,0.04169172628681658
197,group,6,1,nfs,0.02349367651076217,0.027363184067349815,0.03471339608230182
198,groupMultiple,6,1,ceph,0.05976934486600101,0.043749999983593746,0.07872723442595066
199,groupMultiple,6,1,ceph,0.05802376477438514,0.06666666664166666,0.08260050249351213
200,groupMultiple,6,1,ceph,0.04841117781239294,0.03124999998828125,0.043187335888778676
201,groupMultiple,6,1,nfs,0.06280788571322322,0.05833333331145833,0.08060575605726265
202,groupMultiple,6,1,nfs,0.02776460663203551,0.0374999999859375,0.04552230784537152
203,groupMultiple,6,1,nfs,0.0380038407353196,0.060416666644010415,0.07394529554276862
204,allIntoOne,8,2,ceph,0.5914540020154493,0.03836633660327419,0.5967445799413645
205,allIntoOne,8,2,ceph,0.588932671622976,0.0358910890804823,0.60845913558279
206,allIntoOne,8,2,ceph,0.5895773692202371,0.0358910890804823,0.606855665840277
207,allIntoOne,8,2,nfs,0.6005087258472027,0.0804455444907362,0.616738986747428
208,allIntoOne,8,2,nfs,0.6010007427463732,0.0804455444907362,0.616884878223728
209,allIntoOne,8,2,nfs,0.5904368834698639,0.04084158412606607,0.6035841746289827
210,chain,8,2,ceph,0.010389119066108692,0.034999999986,0.030364719775745376
211,chain,8,2,ceph,0.02346994723564438,0.038749999984499996,0.0458241456338216
212,chain,8,2,ceph,0.018599204389055286,0.0237499999905,0.022944523604633876
213,chain,8,2,nfs,0.04494825783932517,0.057499999977,0.05621907397567611
214,chain,8,2,nfs,0.02451511717390277,0.0462499999815,0.04401740184745849
215,chain,8,2,nfs,0.034069425215131066,0.0637499999745,0.06891948403121391
216,chipseq,8,2,ceph,0.008531524322799957,0.046048911505885234,0.003960783335505922
217,chipseq,8,2,ceph,0.005195765658059637,0.021734520779830714,0.0021284049043778664
218,chipseq,8,2,ceph,0.010083694865246769,0.04046508340309946,0.004121091300691432
219,chipseq,8,2,nfs,0.006636263221587232,0.0496536612937596,0.005156063150514371
220,chipseq,8,2,nfs,0.00653712757621109,0.05028979360926684,0.004674639671122734
221,chipseq,8,2,nfs,0.006993033908466417,0.015019790782809843,0.004284810426147915
222,fork,8,2,ceph,0.06249986764008105,0.07549504944515244,0.07133488447662613
223,fork,8,2,ceph,0.0324073891100535,0.043316831648857954,0.05420065530414808
224,fork,8,2,ceph,0.10185170874769751,0.11757425733261444,0.11334271282908327
225,fork,8,2,nfs,0.06481472207226414,0.07797029696794432,0.0731905641615953
226,fork,8,2,nfs,0.0648146883503386,0.07797029696794432,0.0750605181322713
227,fork,8,2,nfs,0.06481470662328945,0.07797029696794432,0.07287756346151232
228,group,8,2,ceph,0.0640529780528754,0.05223880593896191,0.08134348287215297
229,group,8,2,ceph,0.051163268588195546,0.041044776094898636,0.08126755904471115
230,group,8,2,ceph,0.07714772800519443,0.03917910445422143,0.075755175710691
231,group,8,2,nfs,0.06204687487043605,0.06902985070505681,0.0847157064504394
232,group,8,2,nfs,0.036555389075039975,0.041044776094898636,0.053191734010688954
233,group,8,2,nfs,0.04001389734954459,0.05410447757963911,0.04617382547190958
234,groupMultiple,8,2,ceph,0.04351206931049414,0.03281249998359375,0.07927613159562531
235,groupMultiple,8,2,ceph,0.05647142292577133,0.029687499985156247,0.05352946510119943
236,groupMultiple,8,2,ceph,0.04572374220817626,0.029687499985156247,0.02964915867139239
237,groupMultiple,8,2,nfs,0.06171171392092549,0.0281249999859375,0.05029523000352683
238,groupMultiple,8,2,nfs,0.08068589844072173,0.04531249997734375,0.06090373484030162
239,groupMultiple,8,2,nfs,0.08228964491041256,0.06718749996640624,0.10153197288381481
